link,title,description,pubDate
https://tri-today.com/2025/03/mike-phillips-in-new-course-record-to-win-ironman-new-zealand/,Mike Phillips in new course record to win Ironman New Zealand,"It’s still early in the season, but Mike Phillips’ definitely is in good shape already. In his home country, he just won Ironman New Zealand, and he did so in a new course record: 7:45:47. For Phillips, it was a day where he was at the front all day. He was not yet first out The post Mike Phillips in new course record to win Ironman New Zealand appeared first on Triathlon Today .","Sat, 01 Mar 2025 04:48:35 +0000"
https://tri-today.com/2025/02/first-look-at-the-lievin-indoor-triathlon-world-cup-2025-start-lists/,First look at the Lievin Indoor Triathlon World Cup 2025 start lists,"Get ready for the fireworks. Get ready for the noise. Get ready for the speed. The Lievin World Indoor Cup is back in less than four weeks and it promises to be an event unlike any other on the calendar. With multiple world champions and WTCS gold medallists on the start line, the racing will The post First look at the Lievin Indoor Triathlon World Cup 2025 start lists appeared first on Triathlon Today .","Fri, 28 Feb 2025 14:10:28 +0000"
https://tri-today.com/2025/02/ironman-follows-rules-of-world-triathlon-three-minute-penalty-for-full-distance-drafting/,Ironman follows rules of World Triathlon: three-minute penalty for Full Distance drafting,"Ironman, which makes and follows its own rules, is partially following World Triathlon’s new rules this year: that means, among other things, that a blue card for drafting in a Full Distance Ironman will now result in a three-minute penalty instead of a five-minute penalty. In addition the length of aerobars will be limited. The The post Ironman follows rules of World Triathlon: three-minute penalty for Full Distance drafting appeared first on Triathlon Today .","Thu, 27 Feb 2025 10:37:00 +0000"
https://tri-today.com/2025/02/tragedy-for-pieter-heemeryck-belgian-athlete-breaks-collarbone-in-collision-and-misses-im-new-zealand/,Tragedy for Pieter Heemeryck: Belgian athlete breaks collarbone in collision and misses IM New Zealand,"What should have been a great start to the season ends in tragedy for Pieter Heemeryck: the Belgian triathlete was hit by a car in New Zealand’s Taupo on Thursday as he doing one of his final bike training sessions before Ironman New Zealand. In the process, he broke his collarbone. For Heemeryck, this means The post Tragedy for Pieter Heemeryck: Belgian athlete breaks collarbone in collision and misses IM New Zealand appeared first on Triathlon Today .","Thu, 27 Feb 2025 08:25:35 +0000"
https://tri-today.com/2025/02/imogen-simmonds-tests-positive-in-out-of-competition-test-but-points-to-partner/,"Imogen Simmonds tests positive in out-of-competition test, but points to partner","Switzerland’s Imogen Simmonds tested positive for ligandrol; a substance that has similar effects to testosterone, in an out-of-competition doping test on Dec. 8, 2024. According to the athlete, who says she had no idea how that substance got into her body and therefore initiated an investigation, it is because of her partner, who does use The post Imogen Simmonds tests positive in out-of-competition test, but points to partner appeared first on Triathlon Today .","Wed, 26 Feb 2025 13:16:11 +0000"
https://tri-today.com/2025/02/race-preview-fireworks-expected-for-ironman-new-zealand/,Race Preview: Fireworks expected for Ironman New Zealand,"Less than three months after hosting the 2024 IM 70.3 World Championships, Taupō will once again welcome hundreds of athletes and their supporters from around the world to the 41st edition of Ironman New Zealand. The 2025 event, which also includes IM 70.3 New Zealand, takes place on Saturday 1 March with more than 2,000 registered The post Race Preview: Fireworks expected for Ironman New Zealand appeared first on Triathlon Today .","Tue, 25 Feb 2025 09:45:15 +0000"
https://tri-today.com/2025/02/problems-with-gps-we-are-getting-nervous/,Problems with GPS? ‘We’ are getting nervous,"Recently, Garmin was in the news big time because of problems athletes were having with their watches, facing a ‘Blue Triangle of Death‘ and simply rendering the watch unusable. We wondered: in such a case, is training still done as usual? Recording workouts has become almost second nature to many athletes. Not for nothing do The post Problems with GPS? ‘We’ are getting nervous appeared first on Triathlon Today .","Mon, 24 Feb 2025 14:28:31 +0000"
https://www.220triathlon.com/training/beginners/how-to-start-cycling,Cycling for beginners: how to start cycling,Interested in learning how to start cycling? We explain everything you need to buy and learn to go from beginner to expert.,"Fri, 28 Feb 2025 15:52:34 +0000"
https://www.220triathlon.com/news/how-to-watch-the-supertri-e-world-championship,How to watch the supertri E World Championship,"Ready for some exciting, action-packed triathlon racing? Here's how to watch the supertri E World Championship on 5 April...","Fri, 28 Feb 2025 09:54:13 +0000"
https://www.220triathlon.com/news/bowhill-duathlon-race-report,Bowhill Duathlon race report: The ultimate Scottish winter race,"With races few and far apart in the winter, Sean McFarlane took on the icy descents and gnarly climbs of the Bowhill Duathlon in Scotland. But would he finish in one piece?","Fri, 28 Feb 2025 07:15:00 +0000"
https://www.220triathlon.com/news/lalex-yee-london-marathon-training-plan,London calling: Alex Yee’s London Marathon training,"In an event for the ages, COROS athlete Alex Yee will take on this year’s TCS London Marathon. Here’s how he’s training for it...","Thu, 27 Feb 2025 12:05:00 +0000"
https://www.220triathlon.com/news/how-to-watch-the-t100-triathlon-world-tour,How to watch Singapore T100,"The first race of the 2025 T100 Triathlon World Tour takes place in Singapore on 5-6 April. Here's everything you need to know, plus how to catch all the action live…","Thu, 27 Feb 2025 11:30:00 +0000"
https://www.220triathlon.com/news/the-strongest-triathlete-sam-perkins-tribute,The strongest triathlete: Sam Perkins tribute,"Triathlete and MND campaigner, East Leake's Sam Perkins will be sorely missed by all who knew him and all who were inspired by him.","Fri, 21 Feb 2025 11:45:00 +0000"
https://www.220triathlon.com/news/athletes/marten-van-riel-interview-2025,The Riel deal: From T100 triumph to a 2025 sequel?,"He’s Belgium’s Mr Consistent, and after a triumphant season on the new T100 circuit is now considered one of the world’s top middle-distance athletes. We caught up with Marten Van Riel as he gears up for his toughest year yet…","Thu, 20 Feb 2025 10:19:48 +0000"
https://www.220triathlon.com/news/brandon-peacock-shot-three-times-races-ironman,“Being shot three times motivated me to race Ironman”,"Being the innocent victim of a drive-by shooting almost cost Brandon Peacock his life. Determined not to be beaten, he’s now training for an Ironman…","Wed, 19 Feb 2025 11:45:00 +0000"
https://www.220triathlon.com/news/wtcs-abu-dhabi-german-grab-comeback-win-as-brits-crash-out,WTCS Abu Dhabi: Germans grab comeback win as Brits crash out,"An inexperienced German quartet recovered from last place in a dramatic mixed team relay, but it was heartbreak for GB when in contention for the podium.","Sun, 16 Feb 2025 11:28:49 +0000"
https://www.220triathlon.com/news/wtcs-abu-dhabi-hayden-wilde-powers-to-victory-in-season-opener,WTCS Abu Dhabi: Hayden Wilde powers to victory in season opener,"The Kiwi took the first race of the seven-event series, but there was a promising WTCS debut for GB’s Ben Dijkstra, who held on for eighth place","Sat, 15 Feb 2025 13:27:31 +0000"
https://triathlonmagazine.ca/racing/pros-return-to-full-ironman-racing-this-weekend-in-new-zealand/,Pros return to full Ironman racing this weekend in New Zealand,Joe Skipper lines up after a rough a season last year The post Pros return to full Ironman racing this weekend in New Zealand appeared first on Triathlon Magazine Canada .,"Fri, 28 Feb 2025 21:36:15 +0000"
https://triathlonmagazine.ca/training/strengthen-performance-weaknesses-before-summer-hits-for-a-bombproof-race-season/,Strengthen performance weaknesses before summer hits for a bombproof race season,Spend time on technique and speed before the big miles hit The post Strengthen performance weaknesses before summer hits for a bombproof race season appeared first on Triathlon Magazine Canada .,"Fri, 28 Feb 2025 18:50:41 +0000"
https://triathlonmagazine.ca/news/edmonton-chosen-for-age-group-cross-national-championships/,Edmonton chosen for Age Group Cross National Championships,Edmonton will again see thousands of athletes descend on the city for another championships The post Edmonton chosen for Age Group Cross National Championships appeared first on Triathlon Magazine Canada .,"Fri, 28 Feb 2025 16:39:26 +0000"
https://triathlonmagazine.ca/feature/why-do-triathletes-do-that/,Why do triathletes do that?,"There are things we do in pursuit of our swim, bike and run obsession that others just don't understand The post Why do triathletes do that? appeared first on Triathlon Magazine Canada .","Thu, 27 Feb 2025 22:35:34 +0000"
https://triathlonmagazine.ca/nutrition/adding-this-one-nutrient-could-help-you-sleep-better/,Adding this one nutrient could help you sleep better,Gut health may be preventing you from getting a good night's sleep The post Adding this one nutrient could help you sleep better appeared first on Triathlon Magazine Canada .,"Thu, 27 Feb 2025 16:36:45 +0000"
https://triathlonmagazine.ca/news/drafting-water-bottles-and-aerobars-the-target-of-new-ironman-rules/,"Drafting, water bottles and aerobars the target of new Ironman rules","Ironman reduces penalties for drafting, restricts water bottles and aerodynamics The post Drafting, water bottles and aerobars the target of new Ironman rules appeared first on Triathlon Magazine Canada .","Wed, 26 Feb 2025 20:26:24 +0000"
